date, value
01/02/1971,756.1
01/03/1971,788.73
01/04/1971,833.72
01/05/1971,799.64
01/06/1971,790.5
01/07/1971,770.05
01/08/1971,791.14
01/09/1971,795.59
01/10/1971,765.02
01/11/1971,756.8
01/12/1971,826.69
01/01/1972,861.09
01/02/1972,903.74
01/03/1972,921.45
01/04/1972,942.16
01/05/1972,948.52
01/06/1972,928.64
01/07/1972,907.66
01/08/1972,921.09
01/09/1972,916.6
01/10/1972,916.63
01/11/1972,933.51
01/12/1972,936.78
01/01/1973,897.39
01/02/1973,835.65
01/03/1973,807.65
01/04/1973,736.4
01/05/1973,696.1
01/06/1973,680.2
01/07/1973,730.06
01/08/1973,692.25
01/09/1973,732.47
01/10/1973,719.3
01/11/1973,606.51
01/12/1973,594.07
01/01/1974,606.51
01/02/1974,595.07
01/03/1974,574.66
01/04/1974,538.71
01/05/1974,491.31
01/06/1974,461.53
01/07/1974,421.83
01/08/1974,371.35
01/09/1974,327.56
01/10/1974,380.03
01/11/1974,363.91
01/12/1974,343.13
01/01/1975,398.72
01/02/1975,413.98
01/03/1975,427.4
01/04/1975,442.02
01/05/1975,465.03
01/06/1975,483.31
01/07/1975,456.96
01/08/1975,433.21
01/09/1975,405.32
01/10/1975,417.52
01/11/1975,424.26
01/12/1975,416.35
01/01/1976,466.15
01/02/1976,481.54
01/03/1976,482.64
01/04/1976,478.05
01/05/1976,463.88
01/06/1976,473.37
01/07/1976,475.99
01/08/1976,465.27
01/09/1976,471.72
01/10/1976,464.58
01/11/1976,467.72
01/12/1976,500.66
01/01/1977,486.2
01/02/1977,476.35
01/03/1977,471.03
01/04/1977,473.77
01/05/1977,471.93
01/06/1977,489.18
01/07/1977,491.27
01/08/1977,486.99
01/09/1977,489.02
01/10/1977,471.31
01/11/1977,496.15
01/12/1977,503.61
01/01/1978,480.3
01/02/1978,480.26
01/03/1978,498.72
01/04/1978,536.62
01/05/1978,555.03
01/06/1978,549.29
01/07/1978,572.36
01/08/1978,609.03
01/09/1978,594.95
01/10/1978,493.04
01/11/1978,506.59
01/12/1978,518.88
01/01/1979,548.45
01/02/1979,527.99
01/03/1979,561.96
01/04/1979,564.32
01/05/1979,547.23
01/06/1979,568.82
01/07/1979,575.64
01/08/1979,606.87
01/09/1979,598.57
01/10/1979,536.56
01/11/1979,565.79
01/12/1979,586.57
01/01/1980,619.02
01/02/1980,596.25
01/03/1980,486.93
01/04/1980,514.46
01/05/1980,547.49
01/06/1980,568.01
01/07/1980,618.52
01/08/1980,648.75
01/09/1980,665.42
01/10/1980,676.85
01/11/1980,724.78
01/12/1980,698.07
01/01/1981,676.91
01/02/1981,670.66
01/03/1981,707.05
01/04/1981,724.13
01/05/1981,740.8
01/06/1981,708.95
01/07/1981,687.8
01/08/1981,631.29
01/09/1981,575.02
01/10/1981,622.23
01/11/1981,639.75
01/12/1981,620.23
01/01/1982,594.75
01/02/1982,564.67
01/03/1982,553.3
01/04/1982,579.4
01/05/1982,554.9
01/06/1982,525.72
01/07/1982,510.92
01/08/1982,541.48
01/09/1982,570.64
01/10/1982,644.69
01/11/1982,705.76
01/12/1982,708.85
01/01/1983,755.98
01/02/1983,792.7
01/03/1983,823.5
01/04/1983,884.75
01/05/1983,926.5
01/06/1983,953.55
01/07/1983,905.8
01/08/1983,868.78
01/09/1983,876.9
01/10/1983,809.37
01/11/1983,840.44
01/12/1983,818.81
01/01/1984,784.35
01/02/1984,734.22
01/03/1984,727.76
01/04/1984,714.61
01/05/1984,670.29
01/06/1984,688.04
01/07/1984,656.94
01/08/1984,725.47
01/09/1984,708.58
01/10/1984,698.27
01/11/1984,685.26
01/12/1984,698.55
01/01/1985,786.49
01/02/1985,798.32
01/03/1985,781.2
01/04/1985,781.47
01/05/1985,806.97
01/06/1985,819.59
01/07/1985,832.19
01/08/1985,820.76
01/09/1985,770.54
01/10/1985,801.16
01/11/1985,857.53
01/12/1985,885.03
01/01/1986,912.03
01/02/1986,979.28
01/03/1986,1025.18
01/04/1986,1050.35
01/05/1986,1094.15
01/06/1986,1102.55
01/07/1986,1009.84
01/08/1986,1039.19
01/09/1986,947.59
01/10/1986,973.8
01/11/1986,969.84
01/12/1986,939.67
01/01/1987,1049.65
01/02/1987,1133.9
01/03/1987,1142.35
01/04/1987,1103.83
01/05/1987,1096.23
01/06/1987,1113.99
01/07/1987,1137.7
01/08/1987,1183.91
01/09/1987,1150.29
01/10/1987,834.76
01/11/1987,787.42
01/12/1987,852.69
01/01/1988,886.91
01/02/1988,941.72
01/03/1988,957.1
01/04/1988,963.93
01/05/1988,938.34
01/06/1988,995.83
01/07/1988,972.9
01/08/1988,942.25
01/09/1988,963.43
01/10/1988,947.45
01/11/1988,919.46
01/12/1988,942.44
01/01/1989,986.4
01/02/1989,978.47
01/03/1989,989.91
01/04/1989,1033.94
01/05/1989,1073.11
01/06/1989,1044.28
01/07/1989,1085.94
01/08/1989,1121.16
01/09/1989,1126.45
01/10/1989,1079.77
01/11/1989,1078.68
01/12/1989,1073.78
01/01/1990,971.72
01/02/1990,990.41
01/03/1990,1007.31
01/04/1990,970.43
01/05/1990,1057.54
01/06/1990,1059.59
01/07/1990,1000.41
01/08/1990,862.27
01/09/1990,772.71
01/10/1990,735.45
01/11/1990,799
01/12/1990,831.71
01/01/1991,916.21
01/02/1991,1000.9
01/03/1991,1063.47
01/04/1991,1067.35
01/05/1991,1111.42
01/06/1991,1041.79
01/07/1991,1097.46
01/08/1991,1145.46
01/09/1991,1143.33
01/10/1991,1176.64
01/11/1991,1131.62
01/12/1991,1265.91
01/01/1992,1337.17
01/02/1992,1360.69
01/03/1992,1290.26
01/04/1992,1234.9
01/05/1992,1247.3
01/06/1992,1196.52
01/07/1992,1230.78
01/08/1992,1189.87
01/09/1992,1228.95
01/10/1992,1270.86
01/11/1992,1368.77
01/12/1992,1420.24
01/01/1993,1453.96
01/02/1993,1395.2
01/03/1993,1430.64
01/04/1993,1367.16
01/05/1993,1446.59
01/06/1993,1451.54
01/07/1993,1453.09
01/08/1993,1527.28
01/09/1993,1565.22
01/10/1993,1592.03
01/11/1993,1540.46
01/12/1993,1586.23
01/01/1994,1629.76
01/02/1994,1607.98
01/03/1994,1503.28
01/04/1994,1482.36
01/05/1994,1483.61
01/06/1994,1420.39
01/07/1994,1448.65
01/08/1994,1529.71
01/09/1994,1523.23
01/10/1994,1547.98
01/11/1994,1492.39
01/12/1994,1495.65
01/01/1995,1496.05
01/02/1995,1566.03
01/03/1995,1606.63
01/04/1995,1654.2
01/05/1995,1691.12
01/06/1995,1822.09
01/07/1995,1954.36
01/08/1995,1986.15
01/09/1995,2027.6
01/10/1995,2006.85
01/11/1995,2052.73
01/12/1995,2040.08
01/01/1996,2043.28
01/02/1996,2114.3
01/03/1996,2105.88
01/04/1996,2267.94
01/05/1996,2363.76
01/06/1996,2251.54
01/07/1996,2048.8
01/08/1996,2160.86
01/09/1996,2315.2
01/10/1996,2297.66
01/11/1996,2426.23
01/12/1996,2423.26
01/01/1997,2581.7
01/02/1997,2441.29
01/03/1997,2273.58
01/04/1997,2342.49
01/05/1997,2604.6
